"Source","Target","rho","qval","trt"
"Coprococcus","[Ruminococcus]",0.604435753996408,5.2749997141564e-06,"Baseline"
"unclassified_Clostridiales","unclassified_Ruminococcaceae",0.651132084250157,2.22771562657525e-07,"Baseline"
"Slackia","unclassified_Coriobacteriaceae",0.704852382678916,0.000153519636790032,"MedWL - Post"
"[Ruminococcus]","Coprococcus",0.604435753996408,5.2749997141564e-06,"Baseline"
"Clostridium","unclassified_[Mogibacteriaceae]",0.610090521117512,0.0102160563064484,"MedA - Post"
"Ruminococcus","unclassified_[Mogibacteriaceae]",0.613892125170314,0.00912991318979165,"MedA - Post"
"unclassified_Coriobacteriaceae","unclassified_[Mogibacteriaceae]",0.62726694109167,0.00609931130000858,"MedA - Post"
"Blautia","unclassified_[Mogibacteriaceae]",0.683760082253095,0.00108899969567695,"MedA - Post"
"Sutterella","Roseburia",0.600271482741226,0.00642177832527413,"MedWL - Post"
"unclassified_Clostridiales","unclassified_Rikenellaceae",0.691273349480714,0.000273089748685417,"MedWL - Post"
"unclassified_[Mogibacteriaceae]","unclassified_Coriobacteriaceae",0.62726694109167,0.00609931130000858,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",0.622690130155808,0.00702657786299271,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",0.649621006607191,0.00297176033250842,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",0.798478441734905,5.33455299084734e-06,"MedA - Post"
"Gemmiger","unclassified_Lachnospiraceae",0.671575083641036,0.00141628362341581,"MedA - Post"
"unclassified_Lachnospiraceae","Oscillospira",-0.767699937114798,3.35232810595986e-05,"MedA - Post"
"unclassified_Ruminococcaceae","Oscillospira",-0.674554095392996,0.000427570191356864,"MedWL - Post"
"Oscillospira","unclassified_Christensenellaceae",0.728756706779816,7.30811301820834e-05,"MedWL - Post"
"unclassified_Clostridiales","unclassified_Christensenellaceae",0.61081738769753,3.52694397300899e-06,"Baseline"
"unclassified_Ruminococcaceae","unclassified_Christensenellaceae",0.721838845554291,0.000263948365095879,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Christensenellaceae",0.748760330578512,9.12469735005936e-05,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Christensenellaceae",0.628168265269145,1.12811730290271e-06,"Baseline"
"unclassified_Ruminococcaceae","unclassified_Christensenellaceae",0.695218055240027,0.000228567872158779,"MedWL - Post"
"Slackia","unclassified_Clostridiales",0.625739645907521,0.0027502395670957,"MedWL - Post"
"unclassified_Clostridiales","Clostridium",0.613701928420827,2.93213661818731e-06,"Baseline"
"Butyricimonas","Parabacteroides",0.605905648056558,0.011530346816865,"MedA - Post"
"Ruminococcus","unclassified_Clostridiales",0.622918360669425,1.6040845558047e-06,"Baseline"
"unclassified_Christensenellaceae","unclassified_Clostridiales",0.61081738769753,3.52694397300899e-06,"Baseline"
"unclassified_Christensenellaceae","unclassified_Clostridiales",0.631493923202329,8.99160346393689e-07,"Baseline"
"unclassified_Ruminococcaceae","unclassified_Clostridiales",0.651132084250157,2.22771562657525e-07,"Baseline"
"Oscillospira","Blautia",0.714772653758762,0.000314909090648195,"MedA - Post"
"unclassified_[Mogibacteriaceae]","Blautia",0.683760082253095,0.00108899969567695,"MedA - Post"
"Collinsella","Blautia",0.608604868823414,0.0106693123433903,"MedA - Post"
"Faecalibacterium","unclassified_Clostridiales",0.603765952914749,5.50007572041686e-06,"Baseline"
"unclassified_Lachnospiraceae","unclassified_Clostridiales",0.643088117631618,0.00369386278183281,"MedA - Post"
"Bacteroides","unclassified_Lachnospiraceae",0.604474927812897,0.0120096808558703,"MedA - Post"
"Dorea","unclassified_Ruminococcaceae",0.615904806284824,0.00385259861896638,"MedWL - Post"
"Ruminococcus","unclassified_Ruminococcaceae",0.601453013061308,0.0130863205309551,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",-0.632525009748663,0.00519199554568741,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",0.636100662284437,0.00463133518335075,"MedA - Post"
"Eggerthella","unclassified_Ruminococcaceae",0.666311227439294,0.00166929935627408,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",-0.618616086673876,0.00351343017633524,"MedWL - Post"
"Anaerofilum","unclassified_Ruminococcaceae",0.676728336753142,0.00141322533927231,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_Ruminococcaceae",0.657366214694326,0.00085667408912765,"MedWL - Post"
"Eggerthella","Coprococcus",0.602383585157801,0.0127426386601678,"MedA - Post"
"unclassified_Ruminococcaceae","Oscillospira",0.610059055974178,0.00467329307281658,"MedWL - Post"
"unclassified_Clostridiales","Oscillospira",0.660839273917809,0.000747668982361828,"MedWL - Post"
"unclassified_Christensenellaceae","Oscillospira",0.728756706779816,7.30811301820834e-05,"MedWL - Post"
"unclassified_Ruminococcaceae","Oscillospira",0.647256343986443,0.00126258587630874,"MedWL - Post"
"unclassified_Christensenellaceae","Oscillospira",0.745732003272012,2.90415417336722e-05,"MedWL - Post"
"unclassified_Christensenellaceae","Oscillospira",0.698032654898437,6.2523762533959e-09,"Baseline"
"unclassified_Lachnospiraceae","Clostridium",0.616146617553702,0.00382153154370739,"MedWL - Post"
"unclassified_Clostridiales","unclassified_Ruminococcaceae",0.612474215569362,3.17297515588984e-06,"Baseline"
"unclassified_Ruminococcaceae","Anaerofilum",0.676728336753142,0.00141322533927231,"MedA - Post"
"unclassified_Lachnospiraceae","Anaerofilum",0.651370180527285,0.00280175441578179,"MedA - Post"
"[Ruminococcus]","Butyricicoccus",0.61519916766704,0.00878132293800715,"MedA - Post"
"unclassified_Lachnospiraceae","Dorea",0.619698769709994,0.00769184203556659,"MedA - Post"
"Clostridium","Dorea",-0.640826546164137,0.00160507126800023,"MedWL - Post"
"unclassified_[Mogibacteriaceae]","Ruminococcus",0.613892125170314,0.00912991318979165,"MedA - Post"
"unclassified_Lachnospiraceae","Coprococcus",0.604927936426395,0.00553332101541811,"MedWL - Post"
"unclassified_Clostridiales","Coprococcus",0.626680072454054,0.00266085931313796,"MedWL - Post"
"Oscillospira","Coprococcus",0.626126440250886,0.00631986467192864,"MedA - Post"
"unclassified_[Mogibacteriaceae]","Coprococcus",0.654588978658585,0.000954185652043144,"MedWL - Post"
"Clostridium","Blautia",0.638821747385797,0.00424153784545563,"MedA - Post"
"Roseburia","Sutterella",0.600271482741226,0.00642177832527413,"MedWL - Post"
"Prevotella","Sutterella",0.68690495592987,1.32362744565045e-08,"Baseline"
"Bacteroides","Sutterella",0.626183778493287,1.28912734979108e-06,"Baseline"
"Ruminococcus","Blautia",0.748576250998234,9.20944122939498e-05,"MedA - Post"
"Coprococcus","Gemmiger",0.66036818528826,0.000761820547367755,"MedWL - Post"
"unclassified_Lachnospiraceae","Gemmiger",0.608364185760068,0.0107443696950308,"MedA - Post"
"Blautia","Gemmiger",0.621986746394451,0.00717882196070652,"MedA - Post"
"unclassified_Lachnospiraceae","Gemmiger",0.671575083641036,0.00141628362341581,"MedA - Post"
"Clostridium","unclassified_Lachnospiraceae",0.64103328058376,0.00159285979625418,"MedWL - Post"
"unclassified_Lachnospiraceae","Roseburia",0.62566010136653,0.00641041434920391,"MedA - Post"
"Oscillospira","Roseburia",0.745150017458706,0.00010931790835698,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",-0.632525009748663,0.00519199554568741,"MedA - Post"
"Eggerthella","unclassified_Lachnospiraceae",-0.667908489027341,0.00157683169116737,"MedA - Post"
"Roseburia","unclassified_Lachnospiraceae",0.628307263405621,0.00251221822394773,"MedWL - Post"
"Blautia","Clostridium",0.638821747385797,0.00424153784545563,"MedA - Post"
"Haemophilus","Veillonella",0.701231637491939,0.000181844844462168,"MedWL - Post"
"Streptococcus","Veillonella",0.745165114405585,2.99836195141387e-05,"MedWL - Post"
"unclassified_Clostridiales","Slackia",0.625739645907521,0.0027502395670957,"MedWL - Post"
"Oscillospira","Slackia",0.65100679686122,0.00109443213956839,"MedWL - Post"
"unclassified_Coriobacteriaceae","Slackia",0.704852382678916,0.000153519636790032,"MedWL - Post"
"Coprococcus","Clostridium",-0.614180894795814,2.8429567144841e-06,"Baseline"
"Oscillospira","Clostridium",-0.711679956424946,0.000110705396379263,"MedWL - Post"
"unclassified_Lachnospiraceae","Clostridium",0.64103328058376,0.00159285979625418,"MedWL - Post"
"Eggerthella","Clostridium",0.637198055291387,0.00182975561191171,"MedWL - Post"
"Sutterella","Prevotella",0.68690495592987,1.32362744565045e-08,"Baseline"
"unclassified_Clostridiales","Faecalibacterium",0.603765952914749,5.50007572041686e-06,"Baseline"
"Veillonella","Streptococcus",0.745165114405585,2.99836195141387e-05,"MedWL - Post"
"Actinomyces","Streptococcus",0.655567136904847,0.000918494457961896,"MedWL - Post"
"unclassified_Gemellaceae","Streptococcus",0.617415982223178,0.00822601377538686,"MedA - Post"
"unclassified_Carnobacteriaceae","Streptococcus",0.634543236621983,0.00201358242666035,"MedWL - Post"
"Methanobrevibacter","Oxalobacter",0.600251976222173,0.00642562519430642,"MedWL - Post"
"unclassified_Erysipelotrichaceae","unclassified_Ruminococcaceae",0.60670804058143,0.00522040528778195,"MedWL - Post"
"Lachnospira","unclassified_Lachnospiraceae",0.601976499796853,0.0128925524691811,"MedA - Post"
"unclassified_Lachnospiraceae","unclassified_[Mogibacteriaceae]",0.6545980083467,0.000953881229922889,"MedWL - Post"
"Coprococcus","unclassified_[Mogibacteriaceae]",0.654588978658585,0.000954185652043144,"MedWL - Post"
"unclassified_[Mogibacteriaceae]","unclassified_Lachnospiraceae",0.6545980083467,0.000953881229922889,"MedWL - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",0.798478441734905,5.33455299084734e-06,"MedA - Post"
"Blautia","Collinsella",0.608604868823414,0.0106693123433903,"MedA - Post"
"Faecalibacterium","Collinsella",0.603345857124379,0.0123960378644786,"MedA - Post"
"Coprococcus","unclassified_Lachnospiraceae",0.604927936426395,0.00553332101541811,"MedWL - Post"
"Coprococcus","Dorea",0.658911756745371,0.000805988120253988,"MedWL - Post"
"Clostridium","Dorea",-0.634810802640799,0.00199423897706342,"MedWL - Post"
"Haemophilus","Coprococcus",-0.674637200405316,0.00141628362341581,"MedA - Post"
"Oscillospira","unclassified_Lachnospiraceae",0.614325825211235,0.00406224210674666,"MedWL - Post"
"Eggerthella","unclassified_Lachnospiraceae",-0.623028229822104,0.00695406987128435,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",-0.618616086673876,0.00351343017633524,"MedWL - Post"
"Eggerthella","Clostridium",0.603623952229271,5.54873839974867e-06,"Baseline"
"[Ruminococcus]","Clostridium",0.7906344081188,1.72026159577467e-06,"MedWL - Post"
"[Ruminococcus]","Clostridium",0.663163052097969,8.99484202652807e-08,"Baseline"
"Bacteroides","unclassified_Lachnospiraceae",-0.64861670502089,0.00119890812130131,"MedWL - Post"
"Dorea","unclassified_Lachnospiraceae",0.600143608807177,0.0131456149979164,"MedA - Post"
"Oscillospira","unclassified_Lachnospiraceae",-0.767699937114798,3.35232810595986e-05,"MedA - Post"
"Gemmiger","unclassified_Lachnospiraceae",0.608364185760068,0.0107443696950308,"MedA - Post"
"unclassified_Ruminococcaceae","Ruminococcus",0.601453013061308,0.0130863205309551,"MedA - Post"
"unclassified_Ruminococcaceae","Dorea",0.615904806284824,0.00385259861896638,"MedWL - Post"
"[Ruminococcus]","Oscillospira",0.684704674902244,0.000364869219412897,"MedWL - Post"
"Lachnospira","unclassified_Lachnospiraceae",0.613159263009422,0.00422294915105212,"MedWL - Post"
"Streptococcus","Actinomyces",0.676305660931854,0.00141628362341581,"MedA - Post"
"unclassified_Lachnospiraceae","Actinomyces",-0.629792692502468,0.00564888804788785,"MedA - Post"
"Streptococcus","Actinomyces",0.655567136904847,0.000918494457961896,"MedWL - Post"
"unclassified_Carnobacteriaceae","Actinomyces",0.669312899770487,0.000531682249469254,"MedWL - Post"
"unclassified_Carnobacteriaceae","unclassified_Gemellaceae",0.622937234830561,1.60210163638769e-06,"Baseline"
"Streptococcus","unclassified_Gemellaceae",0.617415982223178,0.00822601377538686,"MedA - Post"
"Blautia","unclassified_Lachnospiraceae",0.665213919587391,0.00173543544447899,"MedA - Post"
"Faecalibacterium","unclassified_Lachnospiraceae",0.629769658741857,0.0056527964404161,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",0.622690130155808,0.00702657786299271,"MedA - Post"
"Oscillospira","unclassified_Lachnospiraceae",0.629603487769323,0.00568131994645023,"MedA - Post"
"unclassified_Christensenellaceae","unclassified_Ruminococcaceae",0.721838845554291,0.000263948365095879,"MedA - Post"
"unclassified_Christensenellaceae","unclassified_Ruminococcaceae",0.628168265269145,1.12811730290271e-06,"Baseline"
"Gemmiger","Coprococcus",0.66036818528826,0.000761820547367755,"MedWL - Post"
"Clostridium","Coprococcus",-0.614180894795814,2.8429567144841e-06,"Baseline"
"Blautia","Coprococcus",0.643390176989685,0.00146001311278915,"MedWL - Post"
"Dorea","Coprococcus",0.658911756745371,0.000805988120253988,"MedWL - Post"
"Roseburia","unclassified_Lachnospiraceae",0.62566010136653,0.00641041434920391,"MedA - Post"
"Actinomyces","Streptococcus",0.676305660931854,0.00141628362341581,"MedA - Post"
"Blautia","Oscillospira",0.714772653758762,0.000314909090648195,"MedA - Post"
"Alistipes","Oscillospira",0.703099653204112,0.000515743140945815,"MedA - Post"
"unclassified_Clostridiales","Ruminococcus",0.622918360669425,1.6040845558047e-06,"Baseline"
"Oscillospira","[Ruminococcus]",0.684704674902244,0.000364869219412897,"MedWL - Post"
"Clostridium","[Ruminococcus]",0.7906344081188,1.72026159577467e-06,"MedWL - Post"
"unclassified_Ruminococcaceae","Faecalibacterium",0.636669798534519,0.00454778669783304,"MedA - Post"
"unclassified_Clostridiales","unclassified_Christensenellaceae",0.631493923202329,8.99160346393689e-07,"Baseline"
"Oscillospira","unclassified_Christensenellaceae",0.61663986410331,2.42443637470137e-06,"Baseline"
"Oscillospira","unclassified_Christensenellaceae",0.698032654898437,6.2523762533959e-09,"Baseline"
"unclassified_Clostridiales","unclassified_Christensenellaceae",0.638852007078437,5.39070653989249e-07,"Baseline"
"Oscillospira","unclassified_Christensenellaceae",0.745732003272012,2.90415417336722e-05,"MedWL - Post"
"Dorea","[Ruminococcus]",0.776616852491301,4.42721529304824e-06,"MedWL - Post"
"Faecalibacterium","unclassified_Ruminococcaceae",0.636669798534519,0.00454778669783304,"MedA - Post"
"Actinomyces","unclassified_Carnobacteriaceae",0.669312899770487,0.000531682249469254,"MedWL - Post"
"Streptococcus","unclassified_Carnobacteriaceae",0.634543236621983,0.00201358242666035,"MedWL - Post"
"unclassified_Gemellaceae","unclassified_Carnobacteriaceae",0.622937234830561,1.60210163638769e-06,"Baseline"
"Haemophilus","unclassified_Carnobacteriaceae",0.617218229628123,0.00368502603601024,"MedWL - Post"
"unclassified_Lachnospiraceae","Oscillospira",0.614325825211235,0.00406224210674666,"MedWL - Post"
"unclassified_Lachnospiraceae","Oscillospira",0.689222708312977,0.000299286065153562,"MedWL - Post"
"unclassified_Coriobacteriaceae","unclassified_Christensenellaceae",0.619210252158193,0.00344443000444354,"MedWL - Post"
"Methanobrevibacter","Oscillospira",0.80360486462172,6.67173966120196e-07,"MedWL - Post"
"unclassified_Clostridiales","Oscillospira",0.650985393248542,0.00109530008357388,"MedWL - Post"
"unclassified_Ruminococcaceae","Oscillospira",0.684445550838804,0.000369019002571799,"MedWL - Post"
"unclassified_Christensenellaceae","Oscillospira",0.61663986410331,2.42443637470137e-06,"Baseline"
"Methanobrevibacter","unclassified_Ruminococcaceae",0.677238867377389,0.000415599815291933,"MedWL - Post"
"Oscillospira","unclassified_Ruminococcaceae",0.684445550838804,0.000369019002571799,"MedWL - Post"
"unclassified_Lachnospiraceae","Bacteroides",0.604474927812897,0.0120096808558703,"MedA - Post"
"unclassified_Lachnospiraceae","Blautia",0.665213919587391,0.00173543544447899,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",0.636100662284437,0.00463133518335075,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",0.657366214694326,0.00085667408912765,"MedWL - Post"
"Anaerofilum","unclassified_Lachnospiraceae",0.651370180527285,0.00280175441578179,"MedA - Post"
"Clostridium","unclassified_Lachnospiraceae",0.616146617553702,0.00382153154370739,"MedWL - Post"
"unclassified_Lachnospiraceae","Roseburia",0.628307263405621,0.00251221822394773,"MedWL - Post"
"Slackia","Oscillospira",0.65100679686122,0.00109443213956839,"MedWL - Post"
"Clostridium","Oscillospira",-0.711679956424946,0.000110705396379263,"MedWL - Post"
"Coprococcus","Oscillospira",0.626126440250886,0.00631986467192864,"MedA - Post"
"unclassified_Lachnospiraceae","Oscillospira",0.629603487769323,0.00568131994645023,"MedA - Post"
"Dialister","Oscillospira",0.635617406948172,0.00193680098359589,"MedWL - Post"
"unclassified_Ruminococcaceae","unclassified_Erysipelotrichaceae",0.60670804058143,0.00522040528778195,"MedWL - Post"
"Oscillospira","unclassified_Clostridiales",0.604572311635148,0.0119761976923831,"MedA - Post"
"Dorea","unclassified_Lachnospiraceae",0.619698769709994,0.00769184203556659,"MedA - Post"
"Methanobrevibacter","Bacteroides",0.641966252907454,0.00153947176504015,"MedWL - Post"
"Parabacteroides","Butyricimonas",0.605905648056558,0.011530346816865,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Clostridiales",0.642520769343082,0.0015079888139851,"MedWL - Post"
"unclassified_Ruminococcaceae","unclassified_Clostridiales",0.719507521629337,8.33627379343782e-05,"MedWL - Post"
"Oscillospira","unclassified_Clostridiales",0.650985393248542,0.00109530008357388,"MedWL - Post"
"Oscillospira","unclassified_Clostridiales",0.660839273917809,0.000747668982361828,"MedWL - Post"
"unclassified_Ruminococcaceae","unclassified_Clostridiales",0.612474215569362,3.17297515588984e-06,"Baseline"
"Clostridium","unclassified_Clostridiales",0.613701928420827,2.93213661818731e-06,"Baseline"
"unclassified_Lachnospiraceae","Lachnospira",0.601976499796853,0.0128925524691811,"MedA - Post"
"unclassified_Christensenellaceae","unclassified_Ruminococcaceae",0.748760330578512,9.12469735005936e-05,"MedA - Post"
"unclassified_Clostridiales","unclassified_Ruminococcaceae",0.642520769343082,0.0015079888139851,"MedWL - Post"
"Oscillospira","unclassified_Ruminococcaceae",0.647256343986443,0.00126258587630874,"MedWL - Post"
"Oscillospira","unclassified_Ruminococcaceae",-0.674554095392996,0.000427570191356864,"MedWL - Post"
"Oscillospira","unclassified_Lachnospiraceae",0.689222708312977,0.000299286065153562,"MedWL - Post"
"unclassified_Clostridiales","Oscillospira",0.604572311635148,0.0119761976923831,"MedA - Post"
"Oscillospira","unclassified_Ruminococcaceae",0.610059055974178,0.00467329307281658,"MedWL - Post"
"unclassified_Clostridiales","unclassified_Ruminococcaceae",0.719507521629337,8.33627379343782e-05,"MedWL - Post"
"unclassified_Christensenellaceae","unclassified_Ruminococcaceae",0.695218055240027,0.000228567872158779,"MedWL - Post"
"Gemmiger","Blautia",0.621986746394451,0.00717882196070652,"MedA - Post"
"Coprococcus","Blautia",0.643390176989685,0.00146001311278915,"MedWL - Post"
"Sutterella","Bacteroides",0.626183778493287,1.28912734979108e-06,"Baseline"
"Butyricicoccus","[Ruminococcus]",0.61519916766704,0.00878132293800715,"MedA - Post"
"Faecalibacterium","[Ruminococcus]",0.626815067671609,0.00618608901226859,"MedA - Post"
